Rank,Title,Score,Chapters/Volumes,Published
36,Uchuu Kyoudai,8.79,Manga (? vols),Dec 2007 -
37,Made in Abyss,8.78,Manga (? vols),Oct 2012 -
38,Nana,8.76,Manga (21 vols),May 2000 - May 2009
39,Mushoku Tensei: Isekai Ittara Honki Dasu,8.76,Light Novel (? vols),Jan 2014 -
40,Utsuro no Hako to Zero no Maria,8.74,Light Novel (7 vols),Jan 2009 - Jun 2015
41,One Punch-Man,8.74,Manga (? vols),Jun 2012 -
42,Mushishi,8.74,Manga (10 vols),Nov 1999 - Aug 2008
43,Sayonara Eri,8.74,Manga (1 vols),Apr 2022 - Apr 2022
44,Chainsaw Man,8.73,Manga (? vols),Dec 2018 -
45,Solo Leveling,8.71,Manhwa (? vols),Mar 2018 - Dec 2021
46,The Horizon,8.71,Manhwa (3 vols),Mar 2016 - Jul 2016
47,Yokohama Kaidashi Kikou,8.71,Manga (14 vols),Apr 1994 - Feb 2006
48,Natsume Yuujinchou,8.71,Manga (? vols),Jun 2003 -
49,Kono Oto Tomare!,8.71,Manga (? vols),Aug 2012 -
50,Shoujo Shuumatsu Ryokou,8.70,Manga (6 vols),Feb 2014 - Jan 2018
51,Blue Period,8.70,Manga (? vols),Jun 2017 -
52,Death Note,8.70,Manga (12 vols),Dec 2003 - May 2006
53,Hunter x Hunter,8.70,Manga (36 vols),Mar 1998 - Nov 2018
54,Akira,8.69,Manga (6 vols),Dec 1982 - Jun 1990
55,Koten-bu Series,8.69,Novel (? vols),Oct 2001 -
56,Hajime no Ippo,8.68,Manga (? vols),Sep 1989 -
57,Beck,8.68,Manga (34 vols),Feb 2000 - Jun 2008
58,Dorohedoro,8.68,Manga (23 vols),Nov 2000 - Sep 2018
59,Yagate Kimi ni Naru,8.67,Manga (8 vols),Apr 2015 - Sep 2019
60,Spy x Family,8.67,Manga (? vols),Mar 2019 -
61,Kozure Ookami,8.66,Manga (28 vols),Sep 1970 - Apr 1976
62,ReLIFE,8.66,Manga (15 vols),Oct 2013 - Mar 2018
63,Overlord,8.66,Light Novel (? vols),Jul 2012 -
64,Zaregoto Series,8.65,Light Novel (9 vols),Feb 2002 - Nov 2005
65,Banana Fish,8.64,Manga (19 vols),Apr 1985 - Mar 1994
66,Kokou no Hito,8.64,Manga (17 vols),2007 - 2012
67,Kimi no Suizou wo Tabetai,8.64,Novel (1 vols),Jun 2015 - Jun 2015
68,Shinyaku Toaru Majutsu no Index,8.64,Light Novel (23 vols),Mar 2011 - Jul 2019
69,Violet Evergarden,8.64,Light Novel (2 vols),Dec 2015 - Dec 2016
70,Wind Breaker,8.64,Manhwa (? vols),Dec 2013 -
71,Umarekawattemo Mata, Watashi to Kekkon shitekuremasu ka,8.63,Manga (4 vols),Oct 2017 - Sep 2019
72,Aria,8.63,Manga (12 vols),Feb 2002 - Feb 2008
73,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,8.63,Light Novel (? vols),Jan 2015 -
74,Kono Subarashii Sekai ni Shukufuku wo!,8.62,Light Novel (17 vols),Oct 2013 - May 2020
75,Gintama,8.62,Manga (77 vols),Dec 2003 - Jun 2019
76,Pluto,8.61,Manga (8 vols),Sep 2003 - Apr 2009
77,Jibaku Shounen Hanako-kun,8.60,Manga (? vols),Dec 2014 -
78,Mob Psycho 100,8.60,Manga (16 vols),Apr 2012 - Dec 2017
79,Golden Kamuy,8.60,Manga (31 vols),Aug 2014 - Apr 2022
80,Shigatsu wa Kimi no Uso,8.60,Manga (11 vols),Apr 2011 - Feb 2015
81,Sousou no Frieren,8.59,Manga (? vols),Apr 2020 -
82,Tian Guan Ci Fu,8.58,Manhua (? vols),Oct 2019 -
83,Kino no Tabi: The Beautiful World,8.58,Light Novel (? vols),Mar 2000 -
84,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.58,Manga (18 vols),Apr 1992 - Nov 1995
85,Pandora Hearts,8.58,Manga (24 vols),May 2006 - Mar 2015
86,Seishun Buta Yarou Series,8.58,Light Novel (? vols),Apr 2014 -
87,Given,8.58,Manga (? vols),Apr 2013 -
88,Shingeki no Kyojin,8.57,Manga (34 vols),Sep 2009 - Apr 2021
89,Rurouni Kenshin: Meiji Kenkaku Romantan,8.57,Manga (28 vols),Apr 1994 - Sep 1999
90,Skip Beat!,8.57,Manga (? vols),Feb 2002 -
91,One Outs,8.57,Manga (20 vols),Nov 1998 - Aug 2006
92,Neon Genesis Evangelion,8.56,Manga (14 vols),Dec 1994 - Jun 2013
93,Hi no Tori (1967),8.56,Manga (16 vols),Dec 1966 - Feb 1988
94,Baccano!,8.56,Light Novel (? vols),Feb 2003 -
95,Suzumiya Haruhi Series,8.56,Light Novel (? vols),Jun 2003 -
96,Ginga Eiyuu Densetsu,8.56,Novel (10 vols),Nov 1982 - Nov 1987
97,Otoyomegatari,8.56,Manga (? vols),Oct 2008 -
98,Watashitachi no Shiawase na Jikan,8.56,Manga (1 vols),Mar 2008 - Aug 2008
99,Diamond no Ace Act II,8.56,Manga (? vols),Aug 2015 -
100,Tongari Boushi no Atelier,8.55,Manga (? vols),Jul 2016 -
101,Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,8.55,Light Novel (5 vols),Nov 2014 - Apr 2016
102,Jujutsu Kaisen,8.55,Manga (? vols),Mar 2018 -
103,Kara no Kyoukai: The Garden of Sinners,8.55,Light Novel (2 vols),Oct 1998 - Aug 1999
104,Umineko no Naku Koro ni Chiru - Episode 7: Requiem of the Golden Witch,8.55,Manga (9 vols),Apr 2011 - Mar 2015
105,Kakukaku Shikajika,8.55,Manga (5 vols),Nov 2011 - Jan 2015
106,Sasaki to Miyano,8.54,Manga (? vols),Feb 2016 -
107,Bastard,8.54,Manhwa (5 vols),Jul 2014 - May 2016
108,Bungou Stray Dogs: Beast,8.53,Manga (4 vols),Dec 2019 - Jan 2022
109,Sakamichi no Apollon,8.53,Manga (9 vols),Sep 2007 - Jan 2012
110,Kidou Senshi Gundam: The Origin,8.53,Manga (24 vols),Jun 2001 - Jun 2014
111,Fate/Zero,8.53,Light Novel (4 vols),Dec 2006 - Dec 2007
112,Kamisama Hajimemashita,8.53,Manga (25 vols),Feb 2008 - May 2016
113,Fruits Basket,8.52,Manga (23 vols),Jul 1998 - Nov 2006
114,Chihayafuru,8.52,Manga (50 vols),Dec 2007 - Aug 2022
115,"Oshi no Ko",8.52,Manga (? vols),Apr 2020 -
116,Tobaku Datenroku Kaiji: One Poker-hen,8.52,Manga (16 vols),Jun 2013 - Aug 2017
117,Ohayou, Ibarahime,8.52,Manga (6 vols),Nov 2014 - May 2017
118,Tokyo Ghoul,8.52,Manga (14 vols),Sep 2011 - Sep 2014
119,Chikan Otoko,8.52,Manga (? vols),2004 - 2004
120,Shimanami Tasogare,8.52,Manga (4 vols),Mar 2015 - May 2018
121,Vanitas no Karte,8.51,Manga (? vols),Dec 2015 -
122,Bakemonogatari,8.51,Manga (? vols),Mar 2018 -
123,Ouran Koukou Host Club,8.51,Manga (18 vols),Jul 2002 - Sep 2010
124,Spirit Circle,8.51,Manga (6 vols),May 2012 - Mar 2016
125,Umineko no Naku Koro ni Chiru - Episode 5: End of the Golden Witch,8.50,Manga (6 vols),Oct 2010 - Nov 2012
126,Steins;Gate,8.51,Light Novel (5 vols),Jun 2011 - May 2012
127,blanc,8.50,Manga (2 vols),Feb 2018 - Sep 2020
128,Kimi wa Houkago Insomnia,8.50,Manga (? vols),May 2019 -
129,Monogatari Series: Off Season,8.50,Light Novel (4 vols),Oct 2015 - Jan 2017
130,Monogatari Series: Monster Season,8.50,Light Novel (6 vols),Jul 2017 - Aug 2021
131,Hinamatsuri,8.49,Manga (19 vols),Jun 2010 - Jul 2020
132,No Game No Life,8.49,Light Novel (? vols),Apr 2012 -
133,Kimi no Suizou wo Tabetai,8.49,Manga (2 vols),Aug 2016 - May 2017
134,Bungou Stray Dogs,8.49,Manga (? vols),Dec 2012 -
135,Tensei shitara Slime Datta Ken,8.49,Light Novel (? vols),May 2014 -
136,Eyeshield 21,8.48,Manga (37 vols),Jul 2002 - Jun 2009
137,Ping Pong,8.48,Manga (5 vols),1996 - 1997
138,Kami nomi zo Shiru Sekai,8.48,Manga (26 vols),Apr 2008 - Apr 2014
139,Here U Are,8.48,Manhua (? vols),Nov 2017 - Dec 2020
140,Berserk: Shinen no Kami 2,8.48,One-shot (? vols),Jul 1996 - Jul 1996
141,Ao Ashi,8.48,Manga (? vols),Jan 2015 -
142,Cross Game,8.47,Manga (17 vols),Sep 2005 - Feb 2010
143,Glass no Kamen,8.47,Manga (49 vols),Jan 1976 - May 2012
144,Holyland,8.47,Manga (18 vols),Oct 2000 - May 2008
145,Fullmetal Alchemist,8.47,Light Novel (7 vols),Feb 2003 - Apr 2010
146,Kyou kara Ore wa!!,8.47,Manga (38 vols),1988 - Oct 1997
147,Who Made Me a Princess,8.47,Manhwa (? vols),Dec 2017 - Apr 2022
148,Umineko no Naku Koro ni,8.46,Light Novel (8 vols),Jul 2009 - Aug 2010
149,Ookami to Koushinryou,8.46,Manga (16 vols),Sep 2007 - Dec 2017
150,Gekkan Shoujo Nozaki-kun,8.46,Manga (? vols),Aug 2011 -
151,JoJo no Kimyou na Bouken Part 8: JoJolion,8.45,Manga (27 vols),May 2011 - Aug 2021
152,Yuukoku no Moriarty,8.45,Manga (? vols),Aug 2016 -
153,Doraemon,8.45,Manga (45 vols),Dec 1969 - 1996
154,Rainbow: Nisha Rokubou no Shichinin,8.45,Manga (22 vols),Nov 2002 - Jan 2010
155,Tomodachi Game,8.45,Manga (? vols),Dec 2013 -
156,Horimiya,8.44,Manga (16 vols),Oct 2011 - Mar 2021
157,Tian Guan Ci Fu,8.44,Novel (6 vols),Feb 2021 - Mar 2022
158,Barakamon,8.44,Manga (18 vols),Feb 2008 - Jan 2019
159,Kusuriya no Hitorigoto,8.44,Manga (? vols),May 2017 -
160,Kumo desu ga, Nani ka?,8.43,Light Novel (16 vols),Dec 2015 - Jan 2022
161,Shousetsu Akatsuki no Yona: Onaji Tsuki no Shita de,8.43,Light Novel (1 vols),Mar 2015 - Mar 2015
162,Blade of the Immortal,8.43,Manga (30 vols),Jun 1993 - Dec 2012
163,The Breaker,8.43,Manhwa (10 vols),Jun 2007 - Jul 2010
164,Billy Bat,8.43,Manga (20 vols),Oct 2008 - Aug 2016
165,Tower of God,8.43,Manhwa (? vols),Jul 2010 -
166,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,8.43,Light Novel (? vols),Jun 2019 -
167,Mata, Onaji Yume wo Miteita,8.42,Manga (3 vols),Sep 2017 - Aug 2018
168,Blue Lock,8.42,Manga (? vols),Aug 2018 -
169,The Legend of the Northern Blade,8.42,Manhwa (? vols),Dec 2019 -
170,Youjo Senki,8.42,Light Novel (? vols),Oct 2013 -
171,Nodame Cantabile,8.42,Manga (25 vols),Jul 2001 - Aug 2010
172,21st Century Boys,8.42,Manga (2 vols),Dec 2006 - Jul 2007
173,Gunnm,8.42,Manga (9 vols),Nov 1990 - Mar 1995
174,Kuroshitsuji,8.42,Manga (? vols),Sep 2006 -
175,Onanie Master Kurosawa,8.42,Manga (4 vols),Sep 2007 - Mar 2008
176,Tobaku Mokushiroku Kaiji,8.41,Manga (13 vols),Feb 1996 - Jul 1999
177,Look Back,8.41,Manga (1 vols),Jul 2021 - Jul 2021
178,The Boxer,8.41,Manhwa (? vols),Dec 2019 - May 2022
179,Umineko no Naku Koro ni Chiru - Episode 6: Dawn of the Golden Witch,8.41,Manga (6 vols),Nov 2010 - Nov 2012
180,Noragami,8.41,Manga (? vols),Dec 2010 -
181,No.6,8.41,Novel (9 vols),Oct 2003 - Jun 2011
182,Imawa no Kuni no Alice,8.41,Manga (18 vols),Nov 2010 - Mar 2016
183,Innocent Rouge,8.41,Manga (12 vols),May 2015 - Jan 2020
184,Kimi no Na wa.,8.40,Manga (3 vols),May 2016 - Jan 2017
185,Dragon Ball,8.40,Manga (42 vols),Nov 1984 - May 1995
186,Basara,8.40,Manga (27 vols),Aug 1990 - May 1998
187,Kaichou wa Maid-sama!,8.40,Manga (18 vols),Dec 2005 - Sep 2013
188,Tobaku Hakairoku Kaiji,8.40,Manga (13 vols),Nov 2000 - Apr 2004
189,Juuni Kokuki,8.40,Light Novel (? vols),Jun 1992 -
190,My Girl,8.40,Manga (5 vols),Jun 2006 - Sep 2010
191,Bakuman.,8.40,Manga (20 vols),Aug 2008 - Apr 2012
192,Toaru Majutsu no Index,8.40,Light Novel (22 vols),Apr 2004 - Oct 2010
193,Yubisaki to Renren,8.40,Manga (? vols),Jul 2019 -
194,Song of the Long March,8.40,Manhua (? vols),Feb 2011 -
195,Koe no Katachi,8.40,One-shot (? vols),Jan 2011 - Jan 2011
196,Tensei shitara Slime Datta Ken,8.40,Manga (? vols),Mar 2015 -
197,Kiseijuu,8.39,Manga (10 vols),Nov 1989 - Dec 1995
198,Hadashi no Gen,8.39,Manga (10 vols),May 1973 - Sep 1974
199,Hoshi no Samidare,8.39,Manga (10 vols),Jun 2005 - Aug 2010
200,The Breaker: New Waves,8.39,Manhwa (20 vols),Oct 2010 - May 2015
201,Boku dake ga Inai Machi,8.39,Manga (9 vols),Jun 2012 - Nov 2016
202,Yagate Kimi ni Naru: Saeki Sayaka ni Tsuite,8.39,Light Novel (3 vols),Nov 2018 - Mar 2020
203,Omniscient Reader,8.38,Manhwa (? vols),May 2020 -
204,xxxHOLiC,8.38,Manga (19 vols),Feb 2003 - Feb 2011
205,Cardcaptor Sakura,8.38,Manga (12 vols),May 1996 - Jul 2000
206,SKET Dance,8.38,Manga (32 vols),Jul 2007 - Jul 2013
207,Ballroom e Youkoso,8.38,Manga (? vols),Nov 2011 -
208,SQ: Begin W/Your Name!,8.38,Manhua (1 vols),Oct 2015 - Oct 2015
209,Yuru Camp△,8.38,Manga (? vols),May 2015 -
210,Fumetsu no Anata e,8.38,Manga (? vols),Nov 2016 -
211,Bungou Stray Dogs,8.37,Light Novel (? vols),Apr 2014 -
212,Shadows House,8.37,Manga (? vols),Sep 2018 -
213,Hirano to Kagiura,8.37,Manga (? vols),Mar 2019 -
214,Machida-kun no Sekai,8.37,Manga (7 vols),Jun 2013 - Apr 2018
215,Umineko no Naku Koro ni Chiru,8.37,Light Novel (7 vols),Jul 2012 - Sep 2018
216,Mahoutsukai no Yome,8.36,Manga (? vols),Nov 2013 -
217,Adachi to Shimamura,8.36,Light Novel (? vols),Oct 2012 -
218,Boy Meets Maria,8.36,Manga (1 vols),Oct 2017 - Aug 2018
219,Wotaku ni Koi wa Muzukashii,8.36,Manga (11 vols),Apr 2015 - Jul 2021
220,Kanata kara,8.36,Manga (14 vols),Sep 1991 - Jan 2003
221,Nichijou,8.36,Manga (? vols),Jun 2006 -
222,Daichouhen Doraemon,8.36,Manga (24 vols),Jan 1980 - Mar 2004
223,Umineko no Naku Koro ni - Episode 3: Banquet of the Golden Witch,8.36,Manga (5 vols),Sep 2009 - Jun 2011
224,Durarara!!,8.36,Light Novel (13 vols),Apr 2004 - Jan 2014
225,Shin Angyo Onshi,8.35,Manga (17 vols),Mar 2001 - Aug 2007
226,Konjiki no Gash!!,8.35,Manga (33 vols),Jan 2001 - Dec 2007
227,Homunculus,8.35,Manga (15 vols),Mar 2003 - Feb 2011
228,Saikyou Densetsu Kurosawa,8.35,Manga (11 vols),Jan 2003 - Sep 2006
229,Mo Dao Zu Shi,8.35,Manhua (? vols),Dec 2017 -
230,Re:Zero kara Hajimeru Isekai Seikatsu Ex,8.35,Light Novel (? vols),Jun 2015 -
231,Koko wa Ima kara Rinri desu.,8.34,Manga (? vols),Oct 2016 -
232,Lovely★Complex,8.34,Manga (17 vols),Aug 2001 - Aug 2007
233,Azumanga Daioh,8.34,Manga (4 vols),Jan 1999 - Mar 2002
234,Versailles no Bara,8.34,Manga (10 vols),1972 - 1973
235,Piano no Mori,8.34,Manga (26 vols),Aug 1998 - Nov 2015
236,Dungeon Meshi,8.34,Manga (? vols),Feb 2014 -
237,Toshokan no Daimajutsushi,8.34,Manga (? vols),Nov 2017 -
238,Ookami Kodomo no Ame to Yuki,8.34,Manga (3 vols),Apr 2012 - Aug 2013
239,Gin no Saji,8.33,Manga (15 vols),Apr 2011 - Nov 2019
240,Orange,8.33,Manga (6 vols),Mar 2012 - Jan 2017
241,Gakuen Alice,8.33,Manga (31 vols),Sep 2002 - Jun 2013
242,Mars,8.33,Manga (15 vols),Jan 1996 - Nov 2000
243,Full Metal Panic! Sigma,8.33,Manga (19 vols),Apr 2005 - Sep 2013
244,Touch,8.33,Manga (26 vols),Aug 1981 - Nov 1986
245,Black Jack,8.33,Manga (25 vols),Nov 1973 - Oct 1983
246,Ten: Tenhou-doori no Kaidanji,8.33,Manga (18 vols),Aug 1989 - Apr 2002
247,Kieta Hatsukoi,8.33,Manga (9 vols),Jun 2019 - Jun 2022
248,Canis Series,8.33,Manga (? vols),Jun 2012 -
249,Mushishi Tokubetsu-hen: Hihamukage,8.33,Manga (1 vols),Nov 2013 - Dec 2013
250,Shiori Experience: Jimi na Watashi to Hen na Ojisan,8.32,Manga (? vols),Oct 2013 -
251,Sakamichi no Apollon: Bonus Track,8.32,Manga (1 vols),Mar 2012 - Jul 2012
252,Youjo Senki,8.32,Manga (? vols),Apr 2016 -
253,Mairimashita! Iruma-kun,8.32,Manga (? vols),Mar 2017 -
254,Kage no Jitsuryokusha ni Naritakute!,8.32,Light Novel (? vols),Nov 2018 -
255,Sora wa Akai Kawa no Hotori,8.32,Manga (28 vols),Jan 1995 - Jun 2002
256,Death Note Another Note: Los Angeles BB Renzoku Satsujin Jiken,8.32,Novel (1 vols),Aug 2006 - Aug 2006
257,Love So Life,8.32,Manga (17 vols),Apr 2008 - Jul 2015
258,Tsubasa: RESERVoir CHRoNiCLE,8.31,Manga (28 vols),May 2003 - Oct 2009
259,Tokyo Crazy Paradise,8.31,Manga (19 vols),Dec 1996 - Apr 2002
260,Angel Densetsu,8.31,Manga (15 vols),May 1992 - Feb 2000
261,Buddha,8.31,Manga (14 vols),Sep 1972 - Nov 1983
262,Liar Game,8.31,Manga (19 vols),Feb 2005 - Jan 2015
263,Komatta Toki ni wa Hoshi ni Kike,8.31,Manga (26 vols),Mar 1997 - May 2005
264,Dengeki Daisy,8.31,Manga (16 vols),May 2007 - Dec 2013
265,Hana to Akuma,8.31,Manga (10 vols),Oct 2007 - Nov 2010
266,Doukyuusei,8.31,Manga (1 vols),Jul 2006 - Jul 2007
267,Takemitsuzamurai,8.31,Manga (8 vols),Aug 2006 - Mar 2010
268,Gakuen Babysitters,8.31,Manga (? vols),Sep 2009 -
269,Annarasumanara,8.31,Manhwa (3 vols),Jul 2010 - Dec 2010
270,Gochuumon wa Usagi desu ka?,8.31,Manga (? vols),Jan 2011 -
271,Eleceed,8.31,Manhwa (? vols),Oct 2018 -
272,Fate/strange Fake,8.31,Light Novel (? vols),Jan 2015 -
273,Mo Dao Zu Shi,8.31,Novel (4 vols),Dec 2016 - Dec 2016
274,Naruto Shinden Series,8.31,Light Novel (3 vols),Sep 2015 - Nov 2015
275,Totsukuni no Shoujo,8.31,Manga (11 vols),Sep 2015 - Mar 2021
276,Tokyo卍Revengers,8.31,Manga (? vols),Mar 2017 -
277,Kodomo no Omocha,8.30,Manga (10 vols),Jul 1994 - Oct 1998
278,Blame!,8.30,Manga (10 vols),Jan 1997 - Jul 2003
279,Hellsing,8.30,Manga (10 vols),Apr 1997 - Sep 2008
280,Planetes,8.30,Manga (4 vols),Jan 1999 - Jan 2004
281,Claymore,8.30,Manga (27 vols),May 2001 - Oct 2014
282,Higurashi no Naku Koro ni Kai: Meakashi-hen,8.30,Manga (4 vols),Jun 2006 - Feb 2008
283,Higurashi no Naku Koro ni Kai: Tsumihoroboshi-hen,8.30,Manga (4 vols),Jun 2006 - Apr 2008
284,Yomawari Sensei,8.30,Manga (9 vols),Oct 2004 - Dec 2008
285,Saiki Kusuo no Ψ-nan,8.30,Manga (26 vols),May 2012 - Jul 2018
286,Ojisama to Neko,8.30,Manga (? vols),Jun 2017 -
287,Kengan Ashura,8.30,Manga (27 vols),Apr 2012 - Aug 2018
288,Chichi to Hige-Gorilla to Watashi,8.30,Manga (7 vols),Feb 2011 - Nov 2018
289,The Fable,8.30,Manga (22 vols),Nov 2014 - Nov 2019
290,D.Gray-man,8.29,Manga (? vols),May 2004 -
291,Hanazakari no Kimitachi e,8.29,Manga (23 vols),Aug 1996 - Aug 2004
292,Petshop of Horrors,8.29,Manga (10 vols),1995 - 1998
293,Hachimitsu to Clover,8.29,Manga (10 vols),Apr 2000 - Jul 2006
294,Detective Conan,8.29,Manga (? vols),Jan 1994 -
295,Higurashi no Naku Koro ni Kai: Minagoroshi-hen,8.29,Manga (6 vols),Jun 2008 - Jun 2010
296,Private Opinion: Banana Fish Another Story,8.29,Manga (1 vols),Dec 1995 - Dec 1995
297,Taishou Otome Otogibanashi,8.29,Manga (5 vols),Jul 2015 - Sep 2017
298,Beastars,8.29,Manga (22 vols),Sep 2016 - Oct 2020
299,No.6,8.29,Manga (9 vols),Jan 2011 - Nov 2013
300,Sword Art Online: Progressive,8.28,Light Novel (? vols),Oct 2012 -
301,Paradise Kiss,8.28,Manga (5 vols),Mar 1999 - Mar 2003
302,Black Lagoon,8.28,Manga (? vols),Apr 2002 -
303,Magi,8.28,Manga (37 vols),Jun 2009 - Oct 2017
304,Blue Giant,8.28,Manga (10 vols),May 2013 - Aug 2016
305,Koimonogatari,8.28,Manga (? vols),May 2013 -
306,Kimetsu no Yaiba,8.28,Manga (23 vols),Feb 2016 - May 2020
307,Violet Evergarden Gaiden,8.29,Light Novel (1 vols),Mar 2018 - Mar 2018
308,Skip to Loafer,8.28,Manga (? vols),Aug 2018 -
309,Sweet Home,8.28,Manhwa (12 vols),Oct 2017 - Jul 2020
310,Hidamari ga Kikoeru: Limit,8.27,Manga (3 vols),Oct 2016 - Dec 2019
311,Jigokuraku,8.27,Manga (13 vols),Jan 2018 - Jan 2021
312,Teito Seihai Kitan: Fate/type Redline,8.27,Manga (? vols),Dec 2019 -
313,Nan Hao Shang Feng,8.27,Manhua (? vols),Apr 2021 -
314,Eden: It's an Endless World!,8.27,Manga (18 vols),Sep 1997 - Jun 2008
315,Saint Seiya: The Lost Canvas - Meiou Shinwa,8.27,Manga (25 vols),Sep 2006 - Apr 2011
316,Saiyuuki Gaiden,8.27,Manga (4 vols),May 1999 - May 2009
317,Kimi ni Todoke,8.27,Manga (30 vols),Aug 2005 - Nov 2017
318,Umineko no Naku Koro ni - Episode 4: Alliance of the Golden Witch,8.27,Manga (6 vols),Oct 2009 - Feb 2012
319,Shouwa Genroku Rakugo Shinjuu,8.27,Manga (10 vols),Mar 2010 - Jun 2016
320,Ansatsu Kyoushitsu,8.27,Manga (21 vols),Jul 2012 - Apr 2016
321,Kuragehime,8.26,Manga (17 vols),Oct 2008 - Aug 2017
322,Sunny,8.26,Manga (6 vols),Dec 2010 - Jul 2015
323,Feng Shen Ji II,8.26,Manhua (? vols),2011 - 2012
324,Feng Shen Ji III,8.26,Manhua (? vols),2012 - 2014
325,Silver Diamond,8.26,Manga (27 vols),Aug 2003 - May 2012
326,Cat Street,8.26,Manga (8 vols),Jul 2004 - Sep 2007
327,Toaru Majutsu no Index Gaiden: Toaru Kagaku no Railgun,8.26,Manga (? vols),Feb 2007 -
328,Machikado Mazoku,8.26,Manga (? vols),Jun 2014 -
329,Hai to Gensou no Grimgar,8.26,Light Novel (? vols),Jun 2013 -
330,Rokka no Yuusha,8.25,Light Novel (6 vols),Aug 2011 - Jul 2015
331,Tokyo Ghoul:re,8.25,Manga (16 vols),Oct 2014 - Jul 2018
332,Katanagatari,8.25,Light Novel (12 vols),Jan 2007 - Dec 2007
333,Taiyou no Ie,8.25,Manga (13 vols),Apr 2010 - May 2015
334,Act-age,8.25,Manga (12 vols),Jan 2018 - Aug 2020
335,Ghost Hunt,8.25,Manga (12 vols),Dec 1997 - Sep 2010
336,Hourou Musuko,8.25,Manga (15 vols),Nov 2002 - Jul 2013
337,Sanctuary,8.25,Manga (12 vols),1990 - 1995
338,JoJo no Kimyou na Bouken Part 6: Stone Ocean,8.25,Manga (17 vols),Dec 1999 - Apr 2003
339,Akagami no Shirayuki-hime,8.25,Manga (? vols),Aug 2006 -
340,Kamigami no Itadaki,8.25,Manga (5 vols),Feb 2000 - Mar 2003
341,Toradora!,8.25,Light Novel (10 vols),Mar 2006 - Mar 2009
342,Yuru Yuri,8.25,Manga (? vols),Jun 2008 -
343,Genshiken,8.24,Manga (21 vols),Apr 2002 - Aug 2016
344,Shonan Junai Gumi!,8.24,Manga (31 vols),Sep 1990 - Sep 1996
345,Solanin,8.24,Manga (2 vols),Jun 2005 - Apr 2006
