Rank,Title,Score,Chapters/Volumes,Published
1,Berserk,9.46,Manga (? vols),Aug 1989 -
2,JoJo no Kimyou na Bouken Part 7: Steel Ball Run,9.28,Manga (24 vols),Jan 2004 - Apr 2011
3,One Piece,9.20,Manga (? vols),Jul 1997 -
4,Vagabond,9.19,Manga (37 vols),Sep 1998 - May 2015
5,Monster,9.10,Manga (18 vols),Dec 1994 - Dec 2001
6,Slam Dunk,9.06,Manga (31 vols),Sep 1990 - Jun 1996
7,Fullmetal Alchemist,9.05,Manga (27 vols),Jul 2001 - Sep 2010
8,Oyasumi Punpun,9.03,Manga (13 vols),Mar 2007 - Nov 2013
9,Grand Blue,9.03,Manga (? vols),Apr 2014 -
10,Vinland Saga,8.99,Manga (? vols),Apr 2005 -
11,Kingdom,8.98,Manga (? vols),Jan 2006 -
12,20th Century Boys,8.95,Manga (22 vols),Sep 1999 - Apr 2006
13,Monogatari Series: First Season,8.95,Light Novel (6 vols),Nov 2006 - Jul 2010
14,Houseki no Kuni,8.95,Manga (? vols),Oct 2012 -
15,Ashita no Joe,8.93,Manga (20 vols),Jan 1968 - May 1973
16,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.93,Manga (? vols),May 2015 -
17,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen,8.93,Light Novel (? vols),Jan 2020 -
18,Mikkakan no Koufuku,8.92,Novel (1 vols),Dec 2013 - Dec 2013
19,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,8.92,Light Novel (14 vols),May 2015 - Sep 2019
20,Monogatari Series: Second Season,8.91,Light Novel (6 vols),Oct 2010 - Dec 2011
21,Real,8.90,Manga (? vols),1999 -
22,3-gatsu no Lion,8.90,Manga (? vols),Jul 2007 -
23,GTO,8.89,Manga (25 vols),Dec 1996 - Jan 2002
24,Yotsuba to!,8.87,Manga (? vols),Mar 2003 -
25,Koe no Katachi,8.86,Manga (7 vols),Aug 2013 - Nov 2014
26,Haikyuu!!,8.84,Manga (45 vols),Feb 2012 - Jul 2020
27,Monogatari Series: Final Season,8.84,Light Novel (6 vols),Sep 2012 - Sep 2014
28,Ookami to Koushinryou,8.84,Light Novel (? vols),Feb 2006 -
29,Kaze no Tani no Nausicaä,8.83,Manga (7 vols),Oct 1982 - Feb 1994
30,Akatsuki no Yona,8.83,Manga (? vols),Aug 2009 -
31,Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch,8.82,Manga (9 vols),Jan 2012 - Jun 2015
32,86,8.81,Light Novel (? vols),Feb 2017 -
33,Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.,8.80,Manga (3 vols),Aug 2016 - Oct 2017
34,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,8.79,Light Novel (18 vols),Mar 2011 - Apr 2021
35,Re:Zero kara Hajimeru Isekai Seikatsu,8.79,Light Novel (? vols),Jan 2014 -
